order_id,order_date,customer_id,seller_id,order_status
5893,11/27/2023,50,5,Inprogress
4071,8/29/2023,50,5,Inprogress
3721,8/2/2023,50,2,Inprogress
4631,1/1/2022,50,5,Inprogress
2069,11/21/2021,50,5,Inprogress
4951,10/7/2021,50,1,Inprogress
3007,6/3/2020,50,1,Inprogress
10316,8/3/2022,51,10,Inprogress
3547,1/7/2022,51,2,Inprogress
13035,7/21/2023,52,4,Inprogress
12244,10/15/2022,52,14,Inprogress
17308,7/24/2022,52,34,Inprogress
12502,11/7/2020,52,16,Inprogress
15267,4/12/2020,52,47,Inprogress
6691,11/20/2022,53,1,Inprogress
16424,4/20/2021,53,27,Inprogress
14355,3/31/2023,54,1,Inprogress
18965,1/19/2021,54,28,Inprogress
7018,3/15/2023,55,2,Inprogress
6467,2/22/2023,55,3,Inprogress
17376,7/24/2022,55,35,Inprogress
10890,7/14/2022,55,12,Inprogress
3001,2/20/2021,55,3,Inprogress
7308,11/2/2020,55,1,Inprogress
159,10/9/2020,55,2,Inprogress
19053,2/8/2024,56,23,Inprogress
949,12/25/2023,56,5,Inprogress
12958,5/15/2023,56,3,Inprogress
15265,11/23/2022,56,38,Inprogress
1073,6/29/2022,57,2,Inprogress
12722,1/1/2021,57,20,Inprogress
15659,3/8/2020,57,25,Inprogress
3125,5/11/2023,58,5,Inprogress
10436,4/5/2023,58,7,Inprogress
17496,6/11/2021,58,31,Inprogress
8838,11/5/2023,59,2,Inprogress
15195,11/2/2021,59,1,Inprogress
7324,9/18/2021,59,2,Inprogress
17122,6/9/2021,59,34,Inprogress
8922,10/9/2020,59,3,Inprogress
15918,5/22/2020,59,29,Inprogress
4313,12/11/2021,60,1,Inprogress
17697,1/23/2021,60,28,Inprogress
983,9/28/2020,60,2,Inprogress
3193,5/12/2020,60,1,Inprogress
8698,1/21/2024,61,4,Inprogress
15669,1/31/2022,61,25,Inprogress
18653,3/20/2021,61,27,Inprogress
12676,9/8/2020,61,5,Inprogress
12656,2/4/2020,61,9,Inprogress
14635,12/27/2023,62,12,Inprogress
1231,9/12/2023,62,5,Inprogress
1193,11/20/2022,62,5,Inprogress
3207,12/25/2021,62,2,Inprogress
2395,6/6/2022,63,4,Inprogress
16724,3/10/2020,63,33,Inprogress
2251,2/29/2020,63,4,Inprogress
12176,6/13/2023,64,16,Inprogress
1671,4/14/2021,64,1,Inprogress
9048,10/21/2023,65,1,Inprogress
5123,7/14/2022,65,4,Inprogress
16160,7/13/2022,65,27,Inprogress
1399,5/25/2020,65,4,Inprogress
12620,5/23/2023,66,15,Inprogress
12944,1/15/2021,66,14,Inprogress
4303,10/24/2023,67,1,Inprogress
16446,2/28/2023,67,26,Inprogress
4857,8/13/2022,67,3,Inprogress
7352,4/5/2021,67,2,Inprogress
12394,10/24/2020,67,9,Inprogress
18001,4/7/2020,67,35,Inprogress
19773,11/17/2023,68,24,Inprogress
5981,10/9/2021,68,2,Inprogress
2165,6/3/2021,68,2,Inprogress
1281,12/27/2020,68,5,Inprogress
17088,11/7/2020,68,20,Inprogress
18225,7/21/2020,68,24,Inprogress
7272,12/2/2023,69,5,Inprogress
7098,4/19/2022,69,1,Inprogress
18247,7/16/2023,70,23,Inprogress
19639,5/16/2023,70,35,Inprogress
12758,2/20/2022,70,17,Inprogress
18647,1/25/2022,71,22,Inprogress
4183,1/16/2021,71,3,Inprogress
11440,9/19/2020,71,19,Inprogress
2627,8/27/2023,72,4,Inprogress
18033,12/7/2022,72,32,Inprogress
19745,10/18/2022,72,35,Inprogress
15413,9/5/2020,72,23,Inprogress
4865,8/4/2022,73,4,Inprogress
19979,8/28/2021,73,28,Inprogress
18649,2/5/2021,73,32,Inprogress
8996,8/28/2020,73,2,Inprogress
3757,1/4/2023,74,3,Inprogress
11236,6/3/2022,74,14,Inprogress
19801,6/2/2022,74,29,Inprogress
6081,5/25/2022,74,3,Inprogress
17370,3/23/2022,74,35,Inprogress
6829,9/7/2023,75,5,Inprogress
4545,7/15/2023,75,3,Inprogress
13115,4/6/2023,75,22,Inprogress
15936,6/25/2022,75,28,Inprogress
10054,2/8/2022,75,20,Inprogress
7488,12/5/2020,75,1,Inprogress
13353,6/5/2020,75,12,Inprogress
11618,3/20/2020,75,20,Inprogress
16614,8/25/2022,76,23,Inprogress
14869,4/24/2022,76,25,Inprogress
6663,2/22/2022,76,2,Inprogress
13617,4/9/2021,76,21,Inprogress
4159,9/29/2020,76,5,Inprogress
15165,1/31/2020,76,45,Inprogress
5519,4/28/2023,77,4,Inprogress
3041,10/28/2021,77,3,Inprogress
17434,10/2/2020,77,31,Inprogress
14257,9/17/2022,78,19,Inprogress
4299,9/14/2023,79,2,Inprogress
525,12/25/2021,79,5,Inprogress
933,5/11/2020,79,3,Inprogress
16300,2/22/2020,79,30,Inprogress
18229,2/11/2024,80,21,Inprogress
5801,10/30/2023,80,5,Inprogress
17617,10/25/2023,80,23,Inprogress
18487,7/30/2023,80,30,Inprogress
13149,6/14/2023,80,16,Inprogress
3267,4/29/2023,80,5,Inprogress
1201,12/6/2021,80,2,Inprogress
19479,4/3/2021,80,27,Inprogress
9070,8/20/2021,81,2,Inprogress
12588,5/29/2021,81,15,Inprogress
14727,12/18/2020,81,1,Inprogress
10700,12/17/2020,81,14,Inprogress
11116,8/26/2022,82,8,Inprogress
9578,11/10/2021,82,1,Inprogress
18173,7/9/2021,82,32,Inprogress
7918,6/1/2023,83,4,Inprogress
5307,3/25/2023,83,3,Inprogress
19325,8/10/2022,83,23,Inprogress
13899,8/8/2022,83,10,Inprogress
19015,6/11/2021,83,21,Inprogress
2195,7/11/2020,83,4,Inprogress
9944,2/26/2020,83,5,Inprogress
17406,1/20/2024,84,35,Inprogress
11826,5/19/2023,84,1,Inprogress
16984,2/14/2023,84,35,Inprogress
6295,10/15/2021,84,4,Inprogress
12700,3/30/2021,84,23,Inprogress
12514,8/3/2020,84,13,Inprogress
13559,2/25/2022,85,21,Inprogress
11760,1/7/2022,85,14,Inprogress
12272,9/18/2020,85,6,Inprogress
18161,1/13/2020,85,34,Inprogress
2119,11/7/2023,86,2,Inprogress
1505,11/15/2023,87,5,Inprogress
13613,7/30/2023,88,12,Inprogress
6049,12/10/2021,88,5,Inprogress
14305,7/18/2021,88,6,Inprogress
5709,4/6/2021,88,4,Inprogress
4575,3/2/2020,88,4,Inprogress
15958,10/30/2023,89,29,Inprogress
13879,12/9/2022,89,5,Inprogress
12040,2/6/2021,89,25,Inprogress
19427,1/7/2024,90,27,Inprogress
685,6/22/2021,90,5,Inprogress
14341,2/28/2021,90,19,Inprogress
19835,9/16/2020,90,22,Inprogress
17849,9/28/2023,91,23,Inprogress
3057,4/21/2022,91,1,Inprogress
9306,1/14/2022,91,2,Inprogress
13231,4/17/2022,92,9,Inprogress
8546,1/22/2022,92,4,Inprogress
6285,9/9/2021,92,3,Inprogress
661,3/26/2020,92,5,Inprogress
3833,8/20/2023,93,2,Inprogress
7920,7/8/2023,93,1,Inprogress
9066,10/31/2023,94,2,Inprogress
11482,8/20/2023,94,3,Inprogress
17975,11/1/2021,94,23,Inprogress
463,6/27/2021,94,1,Inprogress
485,6/29/2022,95,4,Inprogress
18489,3/26/2021,95,25,Inprogress
6037,9/17/2020,95,1,Inprogress
16478,8/26/2020,95,25,Inprogress
4087,7/20/2023,96,3,Inprogress
19003,4/20/2023,97,29,Inprogress
5897,1/31/2021,97,4,Inprogress
5829,5/28/2023,98,1,Inprogress
8398,5/6/2023,98,3,Inprogress
